里程,小客車車速,小客車交通量
0005,88,40
0017,90,73
0029,90,106
0061,90,185
0099,90,79
0147,90,132
0153,32,135
0182,28,203
0248,75,300
0264,86,283
0293,86,257
0305,79,132
0339,79,417
0376,50,196
0413,90,205
0467,97,216
0492,75,209
0532,7,5
0511,72,224
0532,32,309
0557,21,196
0578,54,111
0579,57,50
0633,90,149
0664,93,182
0681,93,68
0699,100,69
0610,90,136
0750,93,180
0880,86,221
0928,93,140
0950,91,156
0980,97,199
1045,93,147
1123,100,108
1292,104,89
1389,100,129
1465,100,136
1572,100,157
1621,100,152
1664,64,285
1699,73,212
1774,104,138
1802,104,191
1839,100,175
1906,97,200
1960,100,175
2011,100,188
2089,104,180
2156,108,118
2249,104,113
2322,108,133
2394,111,108
2425,111,110
2472,104,122
2514,108,96
2603,104,88
2674,108,102
2714,104,85
2827,106,106
2866,111,101
2930,104,116
3019,100,161
3083,104,161
3126,93,209
3185,61,287
3227,90,239
3252,93,155
3286,93,140
3366,100,165
3398,46,207
3460,79,251
3535,75,274
3561,68,280
3590,82,234
3640,68,213
3676,86,209
3686,82,7
0099,104,47
0163,36,93
0206,68,213
0305,82,79
0339,90,111
0334,93,72
0447,93,131
0578,46,78
0579,75,81
0099,25,3
0099,43,59
0511,43,12
0511,54,9
0980,64,61
0980,75,188
1621,0,0
1621,90,11
1906,79,14
1906,75,7
3126,0,0
3126,82,6
3590,0,0
3590,93,1
